age,height_cm,weight_kg,body fat_%,diastolic,systolic,gripForce,sit and bend forward_cm,sit-ups counts,broad jump_cm,class
51,169,69,23,56,112,33.7,12.8,27,224,C
21,175.8,66.26,9.9,85,133,42.2,14.6,42,182,C
21,171.6,72.5,24.5,74,136,33.3,-3,33,203,D
44,157.6,46.8,22.9,77,141,28.4,15.6,15,149,D
62,153.3,54.9,30.4,83,157,21.3,25,19,121,B
63,174.4,71.8,22.1,92,142,33.3,6.7,30,173,C
38,163.1,61,26.5,77,123,32.4,21.8,37,170,A
38,166.2,60.4,23.2,63,125,22.7,26.6,28,151,B
52,163.4,61.3,16.9,82,139,39.3,19.5,51,203,A
31,177.8,89.3,24.9,78,145,55.5,9.5,35,185,C
54,157.1,66.2,39.9,79,136,27.2,17.4,27,126,B
24,170.6,69.9,3,75,123,52.4,23.9,60,280,A
28,174.5,69.4,16.1,63,109,35.8,19.5,53,195,D
35,171.5,76.2,18.9,79,127,42.3,18.4,55,214,C
25,171.4,69.4,15.7,87,141,41.2,19,45,232,B
32,164,65.8,20.6,93,143,36.3,4.8,37,191,C
27,160.4,55.68,24.3,60,124,29,24.5,64,173,A
63,166.8,58.4,20.7,77,122,33,10.4,30,181,C
26,167.3,63.3,12.4,69,140,40.7,18.1,56,277,B
28,167.8,65.5,17.5,88,149,53.6,16.2,40,220,C
35,159.4,55.7,30.1,77,117,21.2,21.8,30,156,C
56,171.4,75,23.5,80,154,44.9,18.7,36,180,A
24,166.6,66,30.2,53,128,31.3,22,40,165,B
42,181.6,79.6,25.6,77,144,45.5,7.6,43,229,C
27,180,92.6,29.2,91,151,38.5,3.2,40,207,D
46,172.5,78.7,22,99,139,52.3,9.1,38,218,B
28,173.3,70.8,24.6,84,140,45.4,11.6,53,232,C
48,175.3,96.7,30.7,94,153,30.7,-8.7,26,185,D
28,171.6,62.2,10.8,75,118,40.9,11.4,39,235,C
37,169.3,73.84,27.7,83,149,38.9,15.6,45,183,D
35,168.1,67.1,17.7,81,125,40.4,14.5,44,228,B
37,170,83.6,20.8,97,159,62.3,25.3,57,224,B
28,167,60.5,19.5,72,127,25.2,20.8,47,210,A
30,171.5,70.7,22.2,82,119,45.5,16.1,66,228,A
50,167.8,76.1,24.8,82,122,43.9,13.9,50,193,A
22,167.4,66.2,34,62,110,28.5,11.2,38,0,C
46,170,77.1,24.8,99,145,43.3,8.4,31,200,C
31,165.1,55.1,25.7,79,114,23.7,0,27,136,D
54,164.6,67.1,29.9,85,135,30.9,23.6,37,168,A
36,155.4,49.9,24.17116,73,117,27.5,20.8,32,159,A
37,171.9,96.6,38.6,117,155,39.5,14.4,18,193,D
37,172,73.1,14.1,88,137,56,14.3,38,242,C
21,183.5,88.7,27,82,134,49.5,-5.3,26,201,D
62,152.7,59.8,33.5,47,98,21.7,20.7,19,124,D
47,153.5,54.4,31.4,80,137,28.1,18.1,31,117,C
24,160.4,58.7,29.1,77,115,29.6,22.1,54,187,A
26,174.8,81.8,22.7,79,130,47.1,23.2,48,238,B
29,161.1,55.9,32.8,60,137,25,16,3,122,D
60,155.1,52.2,31.8,67,114,21.5,24,30,116,B
45,174.5,87.7,31.9,99,146,48.9,3.3,35,182,D
61,164.7,82.3,43.7,85,145,23.5,15.2,0,51,D
63,163.9,57.6,20,78,148,40.9,15.9,33,182,A
